date,Open,High,Low,Close,Volume,TimeDelta,DT
2018-09-21 12:08:00,292.86,292.9043,292.855,292.9043,30313.0,45000.0,2018-09-21 12:08:00
2018-09-21 12:09:00,292.91,292.93,292.89,292.93,49012.0,45000.0,2018-09-21 12:09:00
2018-09-21 12:10:00,292.91,292.96,292.9,292.95,134466.0,45000.0,2018-09-21 12:10:00
2018-09-21 12:11:00,292.95,292.95,292.9,292.92,56656.0,45000.0,2018-09-21 12:11:00
2018-09-21 12:12:00,292.9253,292.93,292.92,292.9299,57212.0,45000.0,2018-09-21 12:12:00
2018-09-21 12:13:00,292.93,292.93,292.9,292.92,36538.0,45000.0,2018-09-21 12:13:00
2018-09-21 12:14:00,292.91,292.91,292.89,292.89,36628.0,45000.0,2018-09-21 12:14:00
2018-09-21 12:15:00,292.9059,292.9059,292.85,292.85,41967.0,45000.0,2018-09-21 12:15:00
2018-09-21 12:16:00,292.845,292.85,292.815,292.83,79284.0,45000.0,2018-09-21 12:16:00
2018-09-21 12:17:00,292.82,292.8275,292.76,292.7851,120107.0,45000.0,2018-09-21 12:17:00
2018-09-21 12:18:00,292.78,292.83,292.7775,292.78,65759.0,45000.0,2018-09-21 12:18:00
2018-09-21 12:19:00,292.8,292.8,292.76,292.79,52843.0,45000.0,2018-09-21 12:19:00
2018-09-21 12:20:00,292.79,292.8,292.685,292.685,143459.0,45000.0,2018-09-21 12:20:00
2018-09-21 12:21:00,292.7,292.75,292.7,292.74,52338.0,45000.0,2018-09-21 12:21:00
2018-09-21 12:22:00,292.74,292.74,292.7185,292.73,11094.0,45000.0,2018-09-21 12:22:00
2018-09-21 12:23:00,292.72,292.74,292.695,292.74,61454.0,45000.0,2018-09-21 12:23:00
2018-09-21 12:24:00,292.74,292.76,292.7275,292.7599,94752.0,45000.0,2018-09-21 12:24:00
2018-09-21 12:25:00,292.76,292.77,292.71,292.73,47194.0,45000.0,2018-09-21 12:25:00
2018-09-21 12:26:00,292.73,292.74,292.72,292.72,38690.0,45000.0,2018-09-21 12:26:00
2018-09-21 12:27:00,292.73,292.74,292.71,292.71,41676.0,45000.0,2018-09-21 12:27:00
2018-09-21 12:28:00,292.7075,292.9301,292.67,292.71,736864.0,45000.0,2018-09-21 12:28:00
2018-09-21 12:29:00,292.7,292.74,292.68,292.7,49180.0,45000.0,2018-09-21 12:29:00
2018-09-21 12:30:00,292.7,292.73,292.605,292.62,105378.0,45000.0,2018-09-21 12:30:00
2018-09-21 12:31:00,292.605,292.66,292.605,292.645,81026.0,45000.0,2018-09-21 12:31:00
2018-09-21 12:32:00,292.65,292.68,292.62,292.62,58162.0,45000.0,2018-09-21 12:32:00
2018-09-21 12:33:00,292.62,292.6299,292.58,292.58,75652.0,45000.0,2018-09-21 12:33:00
2018-09-21 12:34:00,292.6,292.62,292.585,292.585,48892.0,45000.0,2018-09-21 12:34:00
2018-09-21 12:35:00,292.59,292.61,292.57,292.57,146339.0,45000.0,2018-09-21 12:35:00
2018-09-21 12:36:00,292.58,292.58,292.46,292.4999,287121.0,45000.0,2018-09-21 12:36:00
2018-09-21 12:37:00,292.5,292.5685,292.5,292.54,60607.0,45000.0,2018-09-21 12:37:00
2018-09-21 12:38:00,292.54,292.61,292.54,292.61,45675.0,45000.0,2018-09-21 12:38:00
2018-09-21 12:39:00,292.618,292.63,292.6,292.615,74566.0,45000.0,2018-09-21 12:39:00
2018-09-21 12:40:00,292.61,292.61,292.595,292.6,34867.0,45000.0,2018-09-21 12:40:00
2018-09-21 12:41:00,292.59,292.6,292.575,292.575,42914.0,45000.0,2018-09-21 12:41:00
2018-09-21 12:42:00,292.575,292.59,292.56,292.57,31538.0,45000.0,2018-09-21 12:42:00
2018-09-21 12:43:00,292.57,292.61,292.57,292.58,40483.0,45000.0,2018-09-21 12:43:00
2018-09-21 12:44:00,292.59,292.59,292.525,292.545,35979.0,45000.0,2018-09-21 12:44:00
2018-09-21 12:45:00,292.57,292.595,292.56,292.585,534214.0,45000.0,2018-09-21 12:45:00
2018-09-21 12:46:00,292.6,292.64,292.59,292.61,57186.0,45000.0,2018-09-21 12:46:00
2018-09-21 12:47:00,292.6299,292.63,292.59,292.6,43343.0,45000.0,2018-09-21 12:47:00
2018-09-21 12:48:00,292.59,292.65,292.59,292.65,23175.0,45000.0,2018-09-21 12:48:00
